CALLS,,PUTS
,OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID,ASK,ASK QTY,STRIKE,BID QTY,BID,ASK,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI,
,1,-,-,-,-,-,350,"2,922.30","3,181.45",350,"52,800.00",455,12.75,12.90,420,-4.15,12.75,17.71,"1,794",320,"1,224",
,3,-,-,-,-,-,350,"2,899.85","3,023.70",350,"52,900.00",70,13.50,13.60,140,-4.85,13.45,17.40,"1,027",88,833,
,"1,649",-21,50,14.42,"2,878.00",2.45,140,"2,861.00","2,866.70",105,"53,000.00",70,14.60,14.70,350,-4.75,14.70,17.06,"15,597","2,071","18,510",
,16,-,-,-,-,-,350,"2,705.95","2,823.55",350,"53,100.00",35,15.60,15.85,105,-5.10,15.50,16.75,454,19,663,
,10,-,-,-,-,-,350,"2,609.70","2,730.05",350,"53,200.00",35,16.90,17.00,140,-6.05,17.00,16.43,"1,002",181,"1,843",
,16,-,-,-,-,-,350,"2,528.70","2,625.75",350,"53,300.00",35,17.95,18.05,35,-6.75,17.85,16.12,899,26,706,
,12,-,5,19.86,"2,470.00",192.55,350,"2,435.20","2,479.25",35,"53,400.00",35,19.45,19.65,35,-6.75,19.70,15.75,830,72,789,
,928,-2,13,17.46,"2,350.00",-29.40,35,"2,362.90","2,377.25",35,"53,500.00",175,21.40,21.55,595,-7.50,21.45,15.49,"10,109",-332,"11,422",
,9,-,-,-,-,-,350,"2,220.60","2,320.05",525,"53,600.00",35,23.35,23.55,35,-8.20,23.35,15.20,"1,916",72,"2,764",
,9,-,-,-,-,-,35,"2,148.05","2,211.80",35,"53,700.00",70,25.35,25.55,70,-9.45,25.40,14.93,"2,093",-268,"1,312",
,18,-,-,-,-,-,350,"2,040.30","2,113.70",35,"53,800.00",140,27.80,27.95,70,-10.75,27.70,14.64,"4,569","-1,037","1,639",
,8,-,-,-,-,-,35,"1,969.95","2,016.15",35,"53,900.00",35,30.60,30.80,35,-10.50,30.60,14.33,"2,078",270,"1,693",
,"3,875",-82,255,15.63,"1,861.20",-46.40,70,"1,880.15","1,890.75",35,"54,000.00",490,34.50,34.60,35,-11.00,34.25,14.09,"19,709","1,760","21,891",
,61,-,-,-,-,-,35,"1,767.15","1,816.70",35,"54,100.00",70,38.00,38.20,35,-12.45,37.75,13.78,"2,627",-24,"1,454",
,82,-,-,-,-,-,35,"1,669.90","1,717.75",35,"54,200.00",140,42.40,42.60,70,-13.70,42.40,13.51,"3,078",80,"2,343",
,159,-,-,-,-,-,35,"1,586.75","1,622.95",35,"54,300.00",105,47.90,48.05,35,-14.90,48.00,13.32,"4,521",-273,"2,619",
,131,6,25,15.11,"1,505.25",-15.95,105,"1,498.90","1,514.25",35,"54,400.00",140,53.95,54.20,175,-16.00,54.25,13.03,"3,907",251,"1,744",
,"1,522",17,577,12.98,"1,420.00",-16.70,105,"1,410.35","1,415.90",105,"54,500.00",70,61.20,61.45,35,-17.95,61.10,12.85,"17,421",959,"17,604",
,246,5,25,14.07,"1,315.10",-26.05,105,"1,316.60","1,325.35",35,"54,600.00",105,69.95,70.15,70,-20.00,69.25,12.64,"6,423",481,"3,404",
,392,-2,21,13.15,"1,237.75",-22.40,70,"1,228.10","1,237.35",70,"54,700.00",70,80.00,80.30,245,-21.40,80.05,12.45,"5,918",53,"2,919",
,497,-32,236,12.34,"1,155.10",-21.60,140,"1,142.40","1,146.85",35,"54,800.00",70,91.65,92.00,105,-21.95,92.15,12.26,"9,351","1,023","5,587",
,800,-16,323,12.53,"1,063.80",-25.15,35,"1,058.55","1,060.55",70,"54,900.00",175,106.10,106.50,105,-24.55,106.00,12.12,"6,580",401,"10,038",
,"8,264",615,"5,509",12.29,978.20,-28.80,70,973.55,976.45,105,"55,000.00",105,121.40,121.70,105,-25.65,121.50,11.93,"30,727","1,955","30,201",
,"2,170",-56,534,12.19,898.60,-25.65,70,891.60,894.30,70,"55,100.00",105,139.65,140.05,140,-27.10,140.20,11.79,"7,639","1,509","7,110",
,"3,736",-266,"2,452",12.12,815.00,-33.10,70,812.60,815.15,70,"55,200.00",105,160.30,160.75,70,-29.25,160.00,11.64,"10,054",995,"8,156",
,"5,075",-151,"3,160",11.78,740.00,-34.80,70,737.25,739.40,105,"55,300.00",105,184.25,184.75,70,-31.65,184.00,11.52,"10,974",605,"7,457",
,"5,660",91,"5,991",11.69,665.50,-37.75,35,665.35,666.55,70,"55,400.00",70,211.45,212.10,175,-32.25,212.05,11.38,"13,810","1,012","7,898",
,"24,837","1,909","34,931",11.56,598.65,-37.90,70,597.45,598.65,105,"55,500.00",105,242.05,242.75,70,-33.15,243.30,11.22,"48,208","4,573","30,889",
,"8,547","4,152","40,892",11.49,533.80,-40.50,210,532.85,534.15,350,"55,600.00",140,277.65,278.40,140,-33.90,278.50,11.19,"49,209","5,220","9,957",
,"13,880","6,958","65,364",11.34,472.10,-41.35,70,472.15,473.05,140,"55,700.00",105,316.05,316.85,105,-36.25,315.95,11.06,"68,025","5,742","11,438",
,"15,874","4,369","53,730",11.20,414.65,-44.30,105,414.75,415.00,35,"55,800.00",105,359.15,359.50,35,-36.25,359.25,11.00,"50,012","2,993","12,454",
,"10,076","1,545","22,527",11.19,363.35,-43.70,70,363.40,364.25,70,"55,900.00",105,406.90,407.95,140,-36.65,407.50,10.90,"21,680","1,338","5,495",
,"50,641","5,631","72,460",11.09,315.45,-43.50,105,315.30,316.05,105,"56,000.00",350,460.00,460.40,35,-33.95,461.10,10.87,"47,561","2,098","31,819",
,"10,472",863,"16,708",11.11,272.10,-43.35,35,272.75,273.25,70,"56,100.00",35,515.70,516.95,70,-35.75,516.95,10.69,"11,110",402,"3,323",
,"8,876",156,"14,693",11.03,233.45,-41.95,70,234.05,234.65,105,"56,200.00",70,577.10,578.55,70,-34.15,578.00,10.77,"5,607",-17,"2,459",
,"7,547",477,"13,641",11.02,200.00,-40.60,140,200.10,200.60,70,"56,300.00",70,642.15,644.20,105,-31.40,644.20,10.64,"2,703",-73,"1,485",
,"4,572",-561,"11,800",11.04,170.10,-37.30,70,170.10,170.55,105,"56,400.00",70,712.65,714.60,70,-31.85,712.25,10.56,"1,635",54,"3,553",
,"28,157","2,127","29,810",11.07,143.90,-36.75,70,144.15,144.60,175,"56,500.00",70,785.60,788.05,70,-32.15,783.80,10.74,"4,469",351,"6,517",
,"5,963",839,"10,295",11.07,121.50,-33.20,70,121.45,121.75,35,"56,600.00",70,862.35,865.95,350,-28.15,859.80,10.61,482,38,"1,493",
,"8,593",885,"10,993",11.13,102.90,-30.60,105,102.65,102.95,70,"56,700.00",175,941.90,945.40,105,-23.90,946.25,10.78,594,50,"1,033",
,"6,134",462,"9,848",11.18,86.60,-27.80,105,85.95,86.25,385,"56,800.00",70,"1,024.75","1,029.50",35,-29.70,"1,017.70",11.51,179,-20,662,
,"5,010",790,"8,077",11.24,72.65,-25.55,105,72.20,72.40,105,"56,900.00",140,"1,110.70","1,116.60",35,0.90,"1,135.00",10.40,32,-6,464,
,"67,279",-184,"42,125",11.31,60.70,-22.80,140,60.25,60.45,105,"57,000.00",70,"1,198.60","1,203.60",175,-18.15,"1,197.25",10.32,"1,080",-25,"36,997",
,"4,137",42,"6,059",11.48,51.45,-21.45,70,51.25,51.45,35,"57,100.00",35,"1,286.15","1,295.10",35,26.45,"1,332.50",11.59,9,-5,339,
,"4,579",-53,"6,297",11.59,43.65,-19.15,35,43.60,43.75,175,"57,200.00",35,"1,379.55","1,386.90",35,-6.40,"1,388.75",-,26,-12,815,
,"3,559",10,"4,207",11.72,37.35,-17.20,350,37.10,37.35,70,"57,300.00",105,"1,469.95","1,484.25",35,26.95,"1,510.20",11.24,7,-1,185,
,"3,050",-145,"3,914",11.92,32.40,-14.10,35,32.00,32.15,140,"57,400.00",70,"1,565.05","1,579.35",35,10.00,"1,540.00",-,2,-,380,
,"25,606",347,"21,463",12.06,27.55,-13.35,105,27.40,27.50,175,"57,500.00",35,"1,661.75","1,671.75",175,-26.70,"1,650.00",6.68,61,-27,"2,251",
,"3,073",210,"4,351",12.32,24.25,-11.90,245,24.25,24.35,35,"57,600.00",35,"1,741.85","1,780.40",35,-,-,-,-,-,102,
,"3,174",-257,"4,834",12.55,21.50,-10.20,175,21.35,21.45,35,"57,700.00",35,"1,837.95","1,879.45",35,-,-,-,-,-,219,
,"4,369",-472,"5,095",12.80,18.85,-9.25,70,19.15,19.30,70,"57,800.00",35,"1,934.50","1,974.40",35,-,-,-,-,-,184,
,"1,891",-403,"2,385",13.04,17.05,-8.00,35,17.10,17.25,70,"57,900.00",105,"2,045.80","2,066.15",35,-12.35,"2,050.00",-,1,-,93,
,"32,199","-1,002","26,477",13.25,15.35,-7.35,35,15.30,15.35,140,"58,000.00",35,"2,149.15","2,158.90",35,-11.50,"2,140.75",13.76,85,9,"5,186",
,"2,246",103,"1,929",13.57,14.25,-6.20,140,14.05,14.20,245,"58,100.00",35,"2,228.40","2,262.50",35,-,-,-,-,-,43,
,"2,552",66,"1,402",13.85,12.90,-5.60,525,12.85,12.95,210,"58,200.00",35,"2,322.20","2,370.75",35,-,-,-,-,-,36,
,"2,233",257,"2,578",14.09,11.90,-5.00,280,11.80,11.90,"1,260","58,300.00",350,"2,412.45","2,468.10",35,-,-,-,-,-,6,
,"1,197",120,"1,074",14.37,10.85,-4.60,385,10.90,11.05,140,"58,400.00",35,"2,524.55","2,568.60",35,-,-,-,-,-,8,
,"16,215",86,"14,258",14.63,10.05,-3.80,105,9.95,10.00,35,"58,500.00",35,"2,637.35","2,655.50",70,50.40,"2,725.00",19.55,5,-1,506,
,"3,106","1,289","3,084",14.97,9.45,-3.25,385,9.40,9.50,35,"58,600.00",35,"2,715.95","2,785.75",35,-,-,-,-,-,17,
,"1,550",-473,"2,151",15.26,8.80,-3.15,420,8.70,8.80,35,"58,700.00",350,"2,747.80","2,955.60",70,-,-,-,-,-,3,
,"1,501",31,"2,243",15.54,8.25,-2.55,175,8.20,8.35,140,"58,800.00",350,"2,818.55","3,089.85",350,-,-,-,-,-,-,
,"1,016",165,943,15.86,7.85,-2.50,420,7.80,7.90,35,"58,900.00",350,"2,945.25","3,186.10",350,-,-,-,-,-,-,
,"24,516","-1,937","23,003",16.10,7.25,-2.20,35,7.20,7.25,"1,435","59,000.00",245,"3,136.65","3,148.55",70,46.60,"3,168.30",-,21,-10,"1,898",
,424,-52,503,16.46,7.00,-2.15,350,6.95,7.05,35,"59,100.00",350,"3,145.95","3,372.80",350,-,-,-,-,-,-,
,420,-11,209,16.76,6.50,-1.95,420,6.60,6.65,35,"59,200.00",350,"3,289.90","3,357.35",35,-,-,-,-,-,54,
,498,80,558,17.07,6.25,-1.85,630,6.25,6.45,770,"59,300.00",350,"3,345.40","3,637.25",350,-,-,-,-,-,-,
,716,-128,"1,004",17.31,5.95,-1.65,70,5.90,6.00,630,"59,400.00",350,"3,355.45","3,832.85",350,-,-,-,-,-,-,
,"12,835",-56,"5,964",17.56,5.60,-1.35,805,5.50,5.60,"3,395","59,500.00",350,"3,609.00","3,674.30",35,-,-,-,-,-,193,
,731,9,168,18.02,5.60,-1.50,70,5.60,5.75,35,"59,600.00",350,"3,528.75","4,037.80",350,-,-,-,-,-,-,
,317,-138,968,18.27,5.35,-1.20,35,5.40,5.50,490,"59,700.00",350,"3,642.05","4,139.05",350,-,-,-,-,-,-,
,298,26,361,18.64,5.25,-1.05,210,5.25,5.35,315,"59,800.00",350,"3,740.90","4,194.50",350,-,-,-,-,-,-,
,478,6,231,18.85,5.05,-1.20,35,5.05,5.10,70,"59,900.00",350,"3,920.85","4,147.05",35,-,-,-,-,-,4,
,"29,209",-993,"10,400",19.21,4.80,-0.80,525,4.80,4.85,560,"60,000.00",105,"4,127.10","4,146.30",35,33.35,"4,161.00",-,7,-2,"2,407",
,265,-46,173,19.55,4.90,-0.70,35,4.85,4.90,105,"60,100.00",350,"4,032.65","4,506.10",350,-,-,-,-,-,-,
,274,-14,162,19.88,4.75,-0.80,175,4.70,4.75,175,"60,200.00",350,"4,125.90","4,655.50",350,-,-,-,-,-,-,
,279,-53,134,20.29,4.65,-0.90,105,4.75,4.85,105,"60,300.00",350,"4,220.95","4,768.80",350,-,-,-,-,-,-,
,110,-31,252,20.67,4.55,-1.00,245,4.60,4.75,35,"60,400.00",350,"4,297.50","4,875.10",350,-,-,-,-,-,-,
,"7,176",-664,"2,803",21.05,4.75,-0.40,420,4.70,4.75,595,"60,500.00",70,"4,615.45","4,651.20",35,286.85,"4,631.70",-,1,-,8,
,61,-6,43,21.37,4.55,-0.80,70,4.50,4.70,70,"60,600.00",350,"4,320.80","5,051.05",350,-,-,-,-,-,-,
,94,-20,39,21.66,4.40,-0.80,70,4.45,4.55,210,"60,700.00",350,"4,399.45","5,147.80",70,-,-,-,-,-,-,
,49,-27,85,22.07,4.40,-0.70,70,4.35,4.55,245,"60,800.00",35,"4,811.00","4,984.75",175,-,-,-,-,-,10,
,79,7,59,22.20,4.45,-0.80,70,4.35,4.50,35,"60,900.00",945,"4,586.00","5,397.80",350,-,-,-,-,-,-,
,"16,326",-307,"4,296",22.72,4.50,-0.65,35,4.45,4.50,595,"61,000.00",35,"5,106.15","5,148.50",35,-,-,-,-,-,581,
,46,12,32,23.21,4.25,-0.50,35,4.25,4.40,70,"61,100.00",350,"4,659.50","5,567.40",350,-,-,-,-,-,-,
,61,2,7,23.30,4.05,-1.75,70,4.05,4.40,140,"61,200.00",595,"4,755.00","5,733.50",350,-,-,-,-,-,-,
,95,-52,58,23.53,3.85,-1.05,70,3.95,4.40,70,"61,300.00",350,"4,835.55","5,825.65",350,-,-,-,-,-,-,
,50,-,1,24.40,4.65,-0.10,595,3.90,4.65,70,"61,400.00",420,"4,933.15","5,871.45",350,-,-,-,-,-,-,
,"1,824",16,626,24.38,4.10,-0.70,35,4.00,4.10,70,"61,500.00",350,"5,589.75","5,690.35",350,-,-,-,-,-,3,
,29,-,4,-,3.75,-1.10,70,3.75,4.45,280,"61,600.00",350,"5,027.65","6,145.50",350,-,-,-,-,-,-,
,96,1,7,24.93,3.80,-0.20,595,3.75,4.20,140,"61,700.00",350,"5,107.10","6,254.65",350,-,-,-,-,-,-,
,32,-,-,-,-,-,595,3.60,5.30,595,"61,800.00",350,"5,199.45","6,354.15",350,-,-,-,-,-,-,
,74,-8,65,25.67,3.85,-0.70,70,3.80,4.05,70,"61,900.00",350,"5,266.75","6,398.35",350,-,-,-,-,-,-,
,"5,786",294,"4,838",26.03,3.90,-0.45,385,3.85,3.90,35,"62,000.00",105,"6,116.90","6,146.35",70,75.00,"6,190.00",32.46,2,-,"1,596",
,147,-1,40,26.38,3.85,-0.90,70,3.80,4.15,35,"62,100.00",350,"5,479.80","6,669.80",350,-,-,-,-,-,-,
,152,2,137,26.69,3.80,-0.20,70,3.70,3.80,105,"62,200.00",350,"5,514.45","6,773.15",350,-,-,-,-,-,-,
,161,1,22,27.01,3.55,-0.45,140,3.55,4.40,350,"62,300.00",350,"6,343.35","6,535.25",35,-,-,-,-,-,2,
,173,1,30,27.19,3.55,-0.55,70,3.55,3.95,70,"62,400.00",350,"5,738.95","6,990.70",350,-,-,-,-,-,-,
,795,-25,309,27.58,3.55,-0.60,210,3.55,3.65,105,"62,500.00",350,"6,582.45","6,706.35",350,-,-,-,-,-,2,
,"12,935",47,"1,256",29.08,3.35,-0.70,280,3.35,3.40,35,"63,000.00",350,"7,082.80","7,150.30",35,-,-,-,-,-,175,
,477,-458,709,30.47,3.05,-0.60,595,3.05,3.10,"2,940","63,500.00",350,"7,276.95","8,098.10",350,-,-,-,-,-,-,
,"5,548","1,042","2,506",31.84,2.85,-0.35,980,2.80,2.90,"4,970","64,000.00",350,"8,078.55","8,148.95",35,-,-,-,-,-,349,
,"1,184",-13,526,33.21,2.55,-0.30,805,2.55,2.65,175,"64,500.00",350,"8,571.30","8,650.50",70,-,-,-,-,-,57,
,"17,530",731,"5,239",34.53,2.40,-0.35,"2,835",2.40,2.45,"5,075","65,000.00",385,"9,067.75","9,148.55",35,-,-,-,-,-,297,
